"esco_role","country_name","n_job_offers","median_min_salary","median_max_salary"
ICT system architect,Germany,45,58000.0,84000.0
ICT system architect,India,18,5229.455,8717.83
ICT system architect,Spain,18,45000.0,54000.0
ICT system architect,United Kingdom,225,24000.0,95625.0
ICT system developer,Germany,23,45000.0,60000.0
ICT system integration consultant,Germany,20,37000.0,56000.0
ICT teacher secondary school,United Kingdom,74,43200.0,60565.2
ICT technician,France,12,30000.0,35000.0
ICT technician,Germany,214,32000.0,47000.0
ICT technician,India,18,3300.0,6754.275
ICT technician,Spain,93,18625.375,21000.0
ICT technician,United Kingdom,160,34803.6,41161.71428571428
ICT test analyst,United Kingdom,31,24000.0,120000.0
ICT trainer,Germany,37,36000.0,55000.0
ICT trainer,Spain,20,12000.0,18000.0
ICT trainer,United Kingdom,47,36000.0,54000.0
ICT vendor relationship manager,United Kingdom,12,24000.0,120000.0
IT auditor,Germany,13,49000.0,72000.0
IT auditor,Spain,11,33000.0,42000.0
IT auditor,United Kingdom,41,24000.0,120000.0
Information and communications technology operations technicians,Germany,15,34000.0,46000.0
Information and communications technology operations technicians,Spain,11,23000.0,25000.0
Judges,Germany,61,50000.0,68000.0
Kitchen helpers,Germany,152,25409.52380952381,33962.5
Kitchen helpers,Spain,22,13200.0,15600.0
Laundry machine operators,Spain,28,15000.0,17000.0
Legal professionals,Germany,18,28000.0,40000.0
Legal secretaries,United Kingdom,372,29958.872727272726,33593.333333333336
Managers,Brazil,330,5225.750557777778,5932.868571428571
Managers,France,837,30963.19597069597,36002.865384615376
Managers,Germany,4003,38406.06523388116,56653.02529651131
Managers,India,1184,4559.234033590734,7603.34465
Managers,Ireland,54,52000.0,70127.0
Managers,Mexico,14,8554.0,9870.0
Managers,Spain,1651,21010.247547456853,25931.428571428572
Managers,United Kingdom,6866,44390.31147306367,71859.87486477697
Managers,United States,396,76147.1925443787,112043.9143
Manufacturing supervisors,United Kingdom,12,34800.0,42000.0
Medical and pharmaceutical technicians,Germany,20,29000.0,43000.0
Medical assistants,Brazil,11,2813.328,2813.328
Medical assistants,France,13,22809.600000000002,25200.0
Medical assistants,Germany,785,28000.0,38000.0
Medical assistants,United States,414,36345.9,48548.55584848485
Medical doctors,Germany,397,28000.0,39297.520661157025
Medical doctors,Spain,59,30000.0,41000.0
Medical secretaries,United Kingdom,20,32256.0,36864.0
Mobile plant operators,United Kingdom,13,45600.0,49200.0
Montessori school teacher,United States,19,49470.0,52380.0
Nursing professionals,Brazil,12,3723.64056,3723.64056
Nursing professionals,Germany,151,32000.0,42800.0
Nursing professionals,Spain,19,22000.0,24000.0
Nursing professionals,United States,11,71194.12,97569.39
Office supervisors,Germany,38,29000.0,37000.0
Other arts teachers,United Kingdom,14,43200.0,63360.0
Other cleaning workers,Germany,257,25000.0,32357.14285714286
Other cleaning workers,Spain,277,14380.547619047618,15672.0
Personal service workers,Germany,266,26000.0,34000.0
Personnel clerks,Spain,21,1600.0,1666.0
Pharmaceutical technicians and assistants,Germany,52,29000.0,40000.0
Plastic products machine operators,Germany,14,29000.0,50000.0
Primary school teachers,United Kingdom,75,37440.0,48960.0
Printers,Germany,30,28000.0,39000.0
Printers,Spain,22,18000.0,22000.0
Professionals,Brazil,63,3185.0892000000003,3779.90712
Professionals,France,16,28080.0,34128.0
Professionals,Germany,1659,29000.0,38714.15743612465
Professionals,India,29,3850.0,6047.205999999999
Professionals,Mexico,13,3502.44,3948.0
Professionals,Spain,508,17151.124183006537,19868.695652173912
Professionals,United Kingdom,283,26369.828571428574,119841.82857142857
Professionals,United States,40,40352.0,64745.56
Regulatory government associate professionals,United Kingdom,15,30000.0,80640.0
Restaurant managers,Germany,11,26000.0,33000.0
Sales and marketing managers,Germany,38,30000.0,45000.0
Sales and marketing managers,India,14,2376.0,3959.9999999999995
Sales and marketing managers,United Kingdom,11,31800.0,39600.0
Sales workers,Germany,45,28000.0,39000.0
Secondary education teachers,United Kingdom,35,37440.0,51840.0
Security guards,Germany,52,25500.0,34000.0
Service and sales workers,Germany,16,31000.0,47000.0
Service station attendants,Germany,65,25800.0,33000.0
Service station attendants,Spain,49,17011.9992,1008.0
Shop salespersons,Brazil,82,3014.2799999999997,3063.51324
Shop salespersons,France,29,21960.0,22809.600000000002
Shop salespersons,Germany,588,26000.0,34225.78947368421
Shop salespersons,Spain,287,13200.0,24934.375
Special needs teachers,United Kingdom,24,42000.0,62400.0
Specialist medical practitioners,Germany,37,37000.0,52000.0
Specialist medical practitioners,United Kingdom,15,48000.0,54000.0
Stationary plant and machine operators,Germany,321,29000.0,39000.0
Stock clerks,Spain,34,11340.0,12000.0
Systems administrators,France,11,38000.0,46000.0
Systems administrators,Germany,296,36840.40996031746,53041.666666666664
Systems administrators,India,22,2664.926,6600.0
Systems administrators,Spain,200,29821.428571428572,36000.0
Systems administrators,United Kingdom,143,33181.57714285714,41696.0
Systems analysts,Spain,11,25000.0,30000.0
Systems analysts,United Kingdom,73,43200.0,78000.0
Teaching professionals,Germany,140,32000.0,43000.0
Transport clerks,Germany,53,30000.0,40000.0
Transport clerks,United Kingdom,33,30000.0,32400.0
Transport conductors,Spain,20,16300.0,19200.0
Veterinarians,Germany,38,36000.0,55000.0
Veterinarians,Spain,33,23000.0,28000.0
Veterinarians,United States,21,48151.77,78321.68
Waiters,Brazil,148,3014.2799999999997,3211.069422857143
Waiters,France,41,22809.600000000002,23040.0
Waiters,Germany,41,26000.0,32600.0
Waiters,Spain,1514,16168.559191579376,18000.0
Waiters,United Kingdom,20,26357.760000000002,28131.840000000004
academic advisor,Germany,17,33000.0,49000.0
academic advisor,Spain,48,19000.0,24000.0
academic advisor,United Kingdom,53,39168.0,52992.0
academic support officer,United Kingdom,53,29952.0,32400.0
accommodation manager,Germany,12,29000.0,52000.0
accommodation manager,Spain,13,30000.0,31200.0
accommodation manager,United Kingdom,62,31200.0,53107.200000000004
accountant,France,171,30000.0,35000.0
accountant,Germany,2382,32495.933014354065,45431.41447522646
accountant,India,25,2640.0,3959.9999999999995
accountant,Ireland,15,50000.0,65000.0
accountant,Spain,1190,20000.0,23726.14652014652
accountant,United Kingdom,3231,43804.35469043153,58667.207804878046
accountant,United States,24,52206.369999999995,68931.11
accounting analyst,Brazil,15,6229.512,6229.512
accounting analyst,Germany,269,47833.333333333336,67589.7435897436
accounting analyst,Spain,31,20000.0,24000.0
