Division,Actividad principal,Estimated_Employees_2024,Estimated_Employees_pct,Median_YoY_Growth_pct,Growth_2020_2024_pct,Total_2024,Total_2023,Total_2022,Total_2021,Total_2020,Size_Micro (0-9)_abs,Size_Small (10-49)_abs,Size_Medium (50-249)_abs,Size_Large (250+)_abs,Size_Micro (0-9)_pct,Size_Small (10-49)_pct,Size_Medium (50-249)_pct,Size_Large (250+)_pct,Estrato_Sin asalariados_abs,Estrato_De 1 a 2_abs,Estrato_De 3 a 5_abs,Estrato_De 6 a 9_abs,Estrato_De 10 a 19_abs,Estrato_De 20 a 49_abs,Estrato_De 50 a 99_abs,Estrato_De 100 a 199_abs,Estrato_De 200 a 249_abs,Estrato_De 250 a 999_abs,Estrato_De 1000 a 4999_abs,Estrato_De 5000 o más asalariados_abs,Estrato_Sin asalariados_pct,Estrato_De 1 a 2_pct,Estrato_De 3 a 5_pct,Estrato_De 6 a 9_pct,Estrato_De 10 a 19_pct,Estrato_De 20 a 49_pct,Estrato_De 50 a 99_pct,Estrato_De 100 a 199_pct,Estrato_De 200 a 249_pct,Estrato_De 250 a 999_pct,Estrato_De 1000 a 4999_pct,Estrato_De 5000 o más asalariados_pct,Condicion_Sociedades anónimas_abs,Condicion_Sociedades de responsabilidad limitada_abs,Condicion_Sociedades anónimas_pct,Condicion_Sociedades de responsabilidad limitada_pct
85 Educación,851 Educación preprimaria,28298.0,0.24,-2.0,-11.4,1972,1980,2136,2182,2225,1493,418,55,6,75.71,21.2,2.79,0.3,47,259,563,624,283,135,31,22,2,5,1,0,2.38,13.13,28.55,31.64,14.35,6.85,1.57,1.12,0.1,0.25,0.05,0.0,32,1940,1.62,98.38
61 Telecomunicaciones,611 Telecomunicaciones por cable,27514.0,0.23,-5.1,-27.8,982,995,1225,1303,1360,839,115,16,12,85.44,11.71,1.63,1.22,339,323,109,68,73,42,7,9,0,7,4,1,34.52,32.89,11.1,6.92,7.43,4.28,0.71,0.92,0.0,0.71,0.41,0.1,30,952,3.05,96.95
23 Fabricación de otros productos minerales no metálicos,233 Fabricación de productos cerámicos para la construcción,27374.0,0.23,-3.2,-16.3,343,352,385,400,410,170,107,48,18,49.56,31.2,13.99,5.25,29,65,36,40,39,68,24,22,2,15,3,0,8.45,18.95,10.5,11.66,11.37,19.83,7.0,6.41,0.58,4.37,0.87,0.0,94,249,27.41,72.59
15 Industria del cuero y del calzado,152 Fabricación de calzado,27138.0,0.23,-4.4,-27.7,1677,1704,2119,2156,2320,1019,588,65,5,60.76,35.06,3.88,0.3,115,396,275,233,316,272,45,18,2,5,0,0,6.86,23.61,16.4,13.89,18.84,16.22,2.68,1.07,0.12,0.3,0.0,0.0,49,1628,2.92,97.08
"46 Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas",462 Comercio al por mayor de materias primas agrarias y de animales vivos,26882.0,0.23,-0.0,-10.0,5176,5191,5791,5777,5751,4771,363,37,5,92.18,7.01,0.71,0.1,965,2303,965,538,233,130,26,11,0,5,0,0,18.64,44.49,18.64,10.39,4.5,2.51,0.5,0.21,0.0,0.1,0.0,0.0,295,4881,5.7,94.3
60 Actividades de programación y emisión de radio y televisión,602 Actividades de programación y emisión de televisión,25614.0,0.22,-4.1,-19.0,422,416,479,498,521,316,78,16,12,74.88,18.48,3.79,2.84,122,102,64,28,49,29,10,4,2,7,4,1,28.91,24.17,15.17,6.64,11.61,6.87,2.37,0.95,0.47,1.66,0.95,0.24,54,368,12.8,87.2
33 Reparación e instalación de maquinaria y equipo,332 Instalación de máquinas y equipos industriales,24589.0,0.21,1.8,4.9,790,810,809,779,753,535,207,37,11,67.72,26.2,4.68,1.39,7,237,181,110,117,90,23,13,1,8,3,0,0.89,30.0,22.91,13.92,14.81,11.39,2.91,1.65,0.13,1.01,0.38,0.0,65,725,8.23,91.77
81 Servicios a edificios y actividades de jardinería,813 Actividades de jardinería,24222.0,0.2,0.9,4.4,1992,1962,1970,1963,1908,1547,395,43,7,77.66,19.83,2.16,0.35,36,665,524,322,305,90,28,14,1,6,1,0,1.81,33.38,26.31,16.16,15.31,4.52,1.41,0.7,0.05,0.3,0.05,0.0,52,1940,2.61,97.39
72 Investigación y desarrollo,721 Investigación y desarrollo experimental en ciencias naturales y técnicas,23976.0,0.2,-0.1,-6.4,2068,1987,2206,2220,2210,1752,245,64,7,84.72,11.85,3.09,0.34,754,561,231,206,134,111,36,21,7,6,1,0,36.46,27.13,11.17,9.96,6.48,5.37,1.74,1.02,0.34,0.29,0.05,0.0,69,1999,3.34,96.66
23 Fabricación de otros productos minerales no metálicos,231 Fabricación de vidrio y productos de vidrio,23446.0,0.2,-3.5,-14.1,644,658,699,726,750,393,195,43,13,61.02,30.28,6.68,2.02,27,170,110,86,96,99,30,10,3,11,2,0,4.19,26.4,17.08,13.35,14.91,15.37,4.66,1.55,0.47,1.71,0.31,0.0,69,575,10.71,89.29
