Division,Actividad principal,Estimated_Employees_2024,Estimated_Employees_pct,Median_YoY_Growth_pct,Growth_2020_2024_pct,Total_2024,Total_2023,Total_2022,Total_2021,Total_2020,Size_Micro (0-9)_abs,Size_Small (10-49)_abs,Size_Medium (50-249)_abs,Size_Large (250+)_abs,Size_Micro (0-9)_pct,Size_Small (10-49)_pct,Size_Medium (50-249)_pct,Size_Large (250+)_pct,Estrato_Sin asalariados_abs,Estrato_De 1 a 2_abs,Estrato_De 3 a 5_abs,Estrato_De 6 a 9_abs,Estrato_De 10 a 19_abs,Estrato_De 20 a 49_abs,Estrato_De 50 a 99_abs,Estrato_De 100 a 199_abs,Estrato_De 200 a 249_abs,Estrato_De 250 a 999_abs,Estrato_De 1000 a 4999_abs,Estrato_De 5000 o más asalariados_abs,Estrato_Sin asalariados_pct,Estrato_De 1 a 2_pct,Estrato_De 3 a 5_pct,Estrato_De 6 a 9_pct,Estrato_De 10 a 19_pct,Estrato_De 20 a 49_pct,Estrato_De 50 a 99_pct,Estrato_De 100 a 199_pct,Estrato_De 200 a 249_pct,Estrato_De 250 a 999_pct,Estrato_De 1000 a 4999_pct,Estrato_De 5000 o más asalariados_pct,Condicion_Sociedades anónimas_abs,Condicion_Sociedades de responsabilidad limitada_abs,Condicion_Sociedades anónimas_pct,Condicion_Sociedades de responsabilidad limitada_pct
32 Otras industrias manufactureras,325 Fabricación de instrumentos y suministros médicos y odontológicos,19604.0,0.17,2.0,4.6,1511,1461,1501,1454,1444,1183,283,40,5,78.29,18.73,2.65,0.33,150,514,326,193,183,100,25,12,3,4,1,0,9.93,34.02,21.58,12.77,12.11,6.62,1.65,0.79,0.2,0.26,0.07,0.0,47,1464,3.11,96.89
"24 Metalurgia, fabricación de productos de hierro, acero y ferroaleaciones",244 Producción de metales preciosos y de otros metales no férreos,19572.0,0.17,-3.2,-15.2,145,145,162,160,171,61,39,29,16,42.07,26.9,20.0,11.03,12,23,15,11,22,17,12,13,4,14,2,0,8.28,15.86,10.34,7.59,15.17,11.72,8.28,8.97,2.76,9.66,1.38,0.0,38,107,26.21,73.79
20 Industria química,"203 Fabricación de pinturas, barnices y revestimientos similares, tintas de imprenta y masillas",19112.0,0.16,-1.4,-8.2,367,364,389,393,400,191,121,46,9,52.04,32.97,12.53,2.45,21,68,58,44,56,65,28,15,3,7,2,0,5.72,18.53,15.8,11.99,15.26,17.71,7.63,4.09,0.82,1.91,0.54,0.0,102,265,27.79,72.21
51 Transporte aéreo,511 Transporte aéreo de pasajeros,18946.0,0.16,-2.0,-3.9,99,100,103,107,103,68,10,8,13,68.69,10.1,8.08,13.13,22,27,11,8,4,6,2,3,3,10,2,1,22.22,27.27,11.11,8.08,4.04,6.06,2.02,3.03,3.03,10.1,2.02,1.01,20,79,20.2,79.8
"46 Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas",469 Comercio al por mayor no especializado,18126.0,0.15,0.7,-11.3,5618,5271,6420,6315,6331,5397,213,6,2,96.07,3.79,0.11,0.04,1742,2456,759,440,149,64,3,2,1,2,0,0,31.01,43.72,13.51,7.83,2.65,1.14,0.05,0.04,0.02,0.04,0.0,0.0,150,5468,2.67,97.33
80 Actividades de seguridad e investigación,802 Servicios de sistemas de seguridad,17758.0,0.15,5.2,27.5,482,455,440,421,378,307,152,15,8,63.69,31.54,3.11,1.66,8,117,104,78,103,49,9,5,1,6,1,1,1.66,24.27,21.58,16.18,21.37,10.17,1.87,1.04,0.21,1.24,0.21,0.21,34,448,7.05,92.95
20 Industria química,205 Fabricación de otros productos químicos,17533.0,0.15,-1.0,-4.7,623,620,656,673,654,399,140,76,8,64.04,22.47,12.2,1.28,72,141,91,95,67,73,50,25,1,8,0,0,11.56,22.63,14.61,15.25,10.75,11.72,8.03,4.01,0.16,1.28,0.0,0.0,134,489,21.51,78.49
30 Fabricación de otro material de transporte,302 Fabricación de locomotoras y material ferroviario,17118.0,0.14,-2.5,-9.7,56,56,59,56,62,19,19,13,5,33.93,33.93,23.21,8.93,5,7,2,5,12,7,2,8,3,1,3,1,8.93,12.5,3.57,8.93,21.43,12.5,3.57,14.29,5.36,1.79,5.36,1.79,17,39,30.36,69.64
42 Ingeniería civil,429 Construcción de otros proyectos de ingeniería civil,17028.0,0.14,2.9,11.7,755,718,716,681,676,435,265,53,2,57.62,35.1,7.02,0.26,20,213,126,76,130,135,36,14,3,1,1,0,2.65,28.21,16.69,10.07,17.22,17.88,4.77,1.85,0.4,0.13,0.13,0.0,92,663,12.19,87.81
58 Edición,582 Edición de programas informáticos,16710.0,0.14,-0.1,1.4,520,514,544,552,513,315,157,39,9,60.58,30.19,7.5,1.73,27,164,63,61,97,60,23,14,2,8,1,0,5.19,31.54,12.12,11.73,18.65,11.54,4.42,2.69,0.38,1.54,0.19,0.0,34,486,6.54,93.46
23 Fabricación de otros productos minerales no metálicos,"237 Corte, tallado y acabado de la piedra",16130.0,0.14,-2.0,-12.3,1732,1749,1897,1929,1976,1429,284,16,3,82.51,16.4,0.92,0.17,147,658,408,216,186,98,13,3,0,2,1,0,8.49,37.99,23.56,12.47,10.74,5.66,0.75,0.17,0.0,0.12,0.06,0.0,113,1619,6.52,93.48
"25 Fabricación de productos metálicos, excepto maquinaria y equipo","257 Fabricación de artículos de cuchillería y cubertería, herramientas y ferretería",16082.0,0.14,-3.6,-13.9,1309,1350,1423,1484,1521,973,306,25,5,74.33,23.38,1.91,0.38,73,404,274,222,190,116,15,8,2,5,0,0,5.58,30.86,20.93,16.96,14.51,8.86,1.15,0.61,0.15,0.38,0.0,0.0,166,1143,12.68,87.32
27 Fabricación de material y equipo eléctrico,279 Fabricación de otro material y equipo eléctrico,15638.0,0.13,-0.6,-0.9,338,332,337,340,341,175,121,36,6,51.78,35.8,10.65,1.78,5,68,48,54,66,55,24,12,0,4,2,0,1.48,20.12,14.2,15.98,19.53,16.27,7.1,3.55,0.0,1.18,0.59,0.0,63,275,18.64,81.36
"24 Metalurgia, fabricación de productos de hierro, acero y ferroaleaciones",245 Fundición de metales,15128.0,0.13,-3.3,-14.9,330,341,370,375,388,163,109,47,11,49.39,33.03,14.24,3.33,14,56,51,42,56,53,30,14,3,11,0,0,4.24,16.97,15.45,12.73,16.97,16.06,9.09,4.24,0.91,3.33,0.0,0.0,84,246,25.45,74.55
15 Industria del cuero y del calzado,"151 Preparación, curtido y acabado del cuero, fabricación de artículos de marroquinería, viaje y de guarnicionería y talabartería, preparación y teñido de pieles",15046.0,0.13,-1.4,-19.1,491,494,595,608,607,327,127,29,8,66.6,25.87,5.91,1.63,57,145,61,64,72,55,12,13,4,7,1,0,11.61,29.53,12.42,13.03,14.66,11.2,2.44,2.65,0.81,1.43,0.2,0.0,50,441,10.18,89.82
"26 Fabricación de productos informáticos, electrónicos y ópticos",261 Fabricación de componentes electrónicos y circuitos impresos ensamblados,14999.0,0.13,-1.8,-8.5,465,467,498,514,508,299,125,33,8,64.3,26.88,7.1,1.72,59,115,72,53,78,47,19,8,6,7,1,0,12.69,24.73,15.48,11.4,16.77,10.11,4.09,1.72,1.29,1.51,0.22,0.0,57,408,12.26,87.74
"95 Reparación de ordenadores, efectos personales y artículos de uso doméstico",951 Reparación de ordenadores y equipos de comunicación,14968.0,0.13,-2.8,-12.6,2153,2097,2324,2387,2462,2074,57,17,5,96.33,2.65,0.79,0.23,579,1143,243,109,41,16,11,4,2,3,2,0,26.89,53.09,11.29,5.06,1.9,0.74,0.51,0.19,0.09,0.14,0.09,0.0,31,2122,1.44,98.56
"95 Reparación de ordenadores, efectos personales y artículos de uso doméstico",952 Reparación de efectos personales y artículos de uso doméstico,14278.0,0.12,-1.0,-9.3,3328,3336,3592,3604,3668,3191,125,10,2,95.88,3.76,0.3,0.06,724,1787,448,232,82,43,7,2,1,1,1,0,21.75,53.7,13.46,6.97,2.46,1.29,0.21,0.06,0.03,0.03,0.03,0.0,31,3297,0.93,99.07
78 Actividades relacionadas con el empleo,781 Actividades de las agencias de colocación,14060.0,0.12,-1.3,-14.3,1068,1073,1237,1219,1246,902,126,31,9,84.46,11.8,2.9,0.84,314,409,109,70,69,57,18,9,4,9,0,0,29.4,38.3,10.21,6.55,6.46,5.34,1.69,0.84,0.37,0.84,0.0,0.0,16,1052,1.5,98.5
75 Actividades veterinarias,750 Actividades veterinarias,13918.0,0.12,2.2,8.8,2105,2068,2065,1984,1934,1915,173,11,6,90.97,8.22,0.52,0.29,228,839,604,244,140,33,6,4,1,6,0,0,10.83,39.86,28.69,11.59,6.65,1.57,0.29,0.19,0.05,0.29,0.0,0.0,13,2092,0.62,99.38
"38 Recogida, tratamiento y eliminación de residuos, valorización",383 Valorización,13830.0,0.12,-0.7,-3.6,426,419,436,440,442,245,139,38,4,57.51,32.63,8.92,0.94,7,62,80,96,58,81,23,12,3,3,1,0,1.64,14.55,18.78,22.54,13.62,19.01,5.4,2.82,0.7,0.7,0.23,0.0,60,366,14.08,85.92
87 Asistencia en establecimientos residenciales,"872 Asistencia en establecimientos residenciales para personas con discapacidad intelectual, enfermedad mental y drogodependencia",13042.0,0.11,-0.6,-7.0,159,156,169,174,171,40,93,20,6,25.16,58.49,12.58,3.77,2,9,16,13,39,54,14,6,0,4,2,0,1.26,5.66,10.06,8.18,24.53,33.96,8.81,3.77,0.0,2.52,1.26,0.0,10,149,6.29,93.71
"25 Fabricación de productos metálicos, excepto maquinaria y equipo","252 Fabricación de cisternas, grandes depósitos y contenedores de metal",12738.0,0.11,-1.9,-14.2,552,559,628,644,643,278,230,41,3,50.36,41.67,7.43,0.54,28,86,79,85,118,112,27,13,1,3,0,0,5.07,15.58,14.31,15.4,21.38,20.29,4.89,2.36,0.18,0.54,0.0,0.0,82,470,14.86,85.14
10 Industria de la alimentación,109 Fabricación de productos para la alimentación animal,12688.0,0.11,-0.3,-4.6,495,487,516,517,519,294,153,42,6,59.39,30.91,8.48,1.21,41,93,85,75,65,88,33,8,1,6,0,0,8.28,18.79,17.17,15.15,13.13,17.78,6.67,1.62,0.2,1.21,0.0,0.0,103,392,20.81,79.19
"91 Actividades de bibliotecas, archivos, museos y otras actividades culturales","910 Actividades de bibliotecas, archivos, museos y otras actividades culturales",12614.0,0.11,-2.7,-3.0,1306,1200,1274,1294,1347,1144,136,21,5,87.6,10.41,1.61,0.38,494,455,121,74,94,42,14,7,0,4,1,0,37.83,34.84,9.26,5.67,7.2,3.22,1.07,0.54,0.0,0.31,0.08,0.0,32,1274,2.45,97.55
73 Publicidad y estudios de mercado,732 Estudios de mercado y realización de encuestas de opinión pública,12296.0,0.1,-3.0,-27.7,2148,2176,2796,2869,2972,1996,121,25,6,92.92,5.63,1.16,0.28,855,915,143,83,83,38,15,10,0,6,0,0,39.8,42.6,6.66,3.86,3.86,1.77,0.7,0.47,0.0,0.28,0.0,0.0,88,2060,4.1,95.9
"29 Fabricación de vehículos de motor, remolques y semirremolques","292 Fabricación de carrocerías para vehículos de motor, fabricación de remolques y semirremolques",11844.0,0.1,-3.8,-10.5,495,517,540,534,553,290,166,34,5,58.59,33.54,6.87,1.01,28,88,94,80,120,46,14,17,3,5,0,0,5.66,17.78,18.99,16.16,24.24,9.29,2.83,3.43,0.61,1.01,0.0,0.0,70,425,14.14,85.86
13 Industria textil,133 Acabado de textiles,11794.0,0.1,-4.4,-15.2,363,360,391,400,428,230,116,13,4,63.36,31.96,3.58,1.1,21,87,63,59,71,45,11,2,0,2,2,0,5.79,23.97,17.36,16.25,19.56,12.4,3.03,0.55,0.0,0.55,0.55,0.0,42,321,11.57,88.43
60 Actividades de programación y emisión de radio y televisión,601 Actividades de radiodifusión,11466.0,0.1,-3.9,-25.6,520,541,658,671,699,445,64,5,6,85.58,12.31,0.96,1.15,100,219,87,39,49,15,2,2,1,4,2,0,19.23,42.12,16.73,7.5,9.42,2.88,0.38,0.38,0.19,0.77,0.38,0.0,70,450,13.46,86.54
10 Industria de la alimentación,104 Fabricación de aceites y grasas vegetales y animales,11172.0,0.09,1.7,-0.9,771,753,804,793,778,600,146,19,6,77.82,18.94,2.46,0.78,118,227,154,101,88,58,8,10,1,6,0,0,15.3,29.44,19.97,13.1,11.41,7.52,1.04,1.3,0.13,0.78,0.0,0.0,91,680,11.8,88.2
08 Otras industrias extractivas,"081 Extracción de piedra, arena y arcilla",11120.0,0.09,-3.8,-21.7,1107,1135,1309,1345,1414,796,286,25,0,71.91,25.84,2.26,0.0,195,276,183,142,177,109,20,3,2,0,0,0,17.62,24.93,16.53,12.83,15.99,9.85,1.81,0.27,0.18,0.0,0.0,0.0,188,919,16.98,83.02
17 Industria del papel,"171 Fabricación de pasta papelera, papel y cartón",11088.0,0.09,-2.9,-10.8,148,157,149,149,166,74,42,25,7,50.0,28.38,16.89,4.73,8,32,23,11,20,22,13,8,4,6,1,0,5.41,21.62,15.54,7.43,13.51,14.86,8.78,5.41,2.7,4.05,0.68,0.0,40,108,27.03,72.97
23 Fabricación de otros productos minerales no metálicos,239 Fabricación de productos abrasivos y productos minerales no metálicos n.c.o.p.,10812.0,0.09,-0.9,-9.3,214,215,232,233,236,125,61,22,6,58.41,28.5,10.28,2.8,24,46,24,31,30,31,12,5,5,5,1,0,11.21,21.5,11.21,14.49,14.02,14.49,5.61,2.34,2.34,2.34,0.47,0.0,70,144,32.71,67.29
28 Fabricación de maquinaria y equipo n.c.o.p.,283 Fabricación de maquinaria agraria y forestal,10218.0,0.09,-3.2,-10.2,465,482,500,503,518,288,153,21,3,61.94,32.9,4.52,0.65,29,117,81,61,108,45,17,4,0,2,1,0,6.24,25.16,17.42,13.12,23.23,9.68,3.66,0.86,0.0,0.43,0.22,0.0,42,423,9.03,90.97
"64 Servicios financieros, excepto seguros y fondos de pensiones","649 Otros servicios financieros, excepto seguros y fondos de pensiones",10158.0,0.09,-1.8,-17.1,1115,1554,1726,1432,1345,996,82,32,5,89.33,7.35,2.87,0.45,626,248,73,49,48,34,20,9,3,5,0,0,56.14,22.24,6.55,4.39,4.3,3.05,1.79,0.81,0.27,0.45,0.0,0.0,493,622,44.22,55.78
27 Fabricación de material y equipo eléctrico,274 Fabricación de lámparas y aparatos eléctricos de iluminación,9276.0,0.08,-3.6,-15.1,344,358,387,400,405,242,82,16,4,70.35,23.84,4.65,1.16,21,105,76,40,50,32,9,6,1,3,1,0,6.1,30.52,22.09,11.63,14.53,9.3,2.62,1.74,0.29,0.87,0.29,0.0,46,298,13.37,86.63
61 Telecomunicaciones,612 Telecomunicaciones inalámbricas,9180.0,0.08,-4.4,-18.1,199,208,233,244,243,152,38,5,4,76.38,19.1,2.51,2.01,11,75,43,23,26,12,2,2,1,2,2,0,5.53,37.69,21.61,11.56,13.07,6.03,1.01,1.01,0.5,1.01,1.01,0.0,8,191,4.02,95.98
"26 Fabricación de productos informáticos, electrónicos y ópticos","265 Fabricación de instrumentos y aparatos de medida, verificación y navegación, fabricación de relojes",9128.0,0.08,-3.6,-20.9,408,429,515,527,516,261,105,39,3,63.97,25.74,9.56,0.74,49,105,58,49,64,41,25,12,2,3,0,0,12.01,25.74,14.22,12.01,15.69,10.05,6.13,2.94,0.49,0.74,0.0,0.0,72,336,17.65,82.35
50 Transporte marítimo y por vías navegables interiores,501 Transporte marítimo de pasajeros,8996.0,0.08,2.8,17.7,419,400,410,359,356,370,43,3,3,88.31,10.26,0.72,0.72,40,192,92,46,30,13,0,3,0,1,2,0,9.55,45.82,21.96,10.98,7.16,3.1,0.0,0.72,0.0,0.24,0.48,0.0,13,406,3.1,96.9
27 Fabricación de material y equipo eléctrico,273 Fabricación de cables y dispositivos de cableado,8830.0,0.07,-2.8,-10.4,138,139,146,146,154,67,44,23,4,48.55,31.88,16.67,2.9,7,26,16,18,21,23,14,6,3,3,1,0,5.07,18.84,11.59,13.04,15.22,16.67,10.14,4.35,2.17,2.17,0.72,0.0,33,105,23.91,76.09
"24 Metalurgia, fabricación de productos de hierro, acero y ferroaleaciones","242 Fabricación de tubos, tuberías, perfiles huecos y sus accesorios, de acero",8819.0,0.07,-1.7,-11.1,104,112,114,116,117,41,40,18,5,39.42,38.46,17.31,4.81,2,12,12,15,24,16,10,4,4,4,1,0,1.92,11.54,11.54,14.42,23.08,15.38,9.62,3.85,3.85,3.85,0.96,0.0,31,73,29.81,70.19
"26 Fabricación de productos informáticos, electrónicos y ópticos",263 Fabricación de equipos de telecomunicaciones,8576.0,0.07,3.8,2.8,147,139,154,148,143,82,41,20,4,55.78,27.89,13.61,2.72,16,33,20,13,21,20,10,7,3,3,1,0,10.88,22.45,13.61,8.84,14.29,13.61,6.8,4.76,2.04,2.04,0.68,0.0,33,114,22.45,77.55
30 Fabricación de otro material de transporte,301 Construcción naval,8496.0,0.07,-3.1,-9.4,367,356,380,396,405,269,75,21,2,73.3,20.44,5.72,0.54,35,114,73,47,44,31,13,6,2,1,1,0,9.54,31.06,19.89,12.81,11.99,8.45,3.54,1.63,0.54,0.27,0.27,0.0,39,328,10.63,89.37
45 Venta y reparación de vehículos de motor y motocicletas,"454 Venta, mantenimiento y reparación de motocicletas y de sus repuestos y accesorios",8416.0,0.07,2.3,0.6,1556,1509,1620,1570,1547,1380,166,10,0,88.69,10.67,0.64,0.0,122,706,389,163,127,39,6,1,3,0,0,0,7.84,45.37,25.0,10.48,8.16,2.51,0.39,0.06,0.19,0.0,0.0,0.0,66,1490,4.24,95.76
27 Fabricación de material y equipo eléctrico,275 Fabricación de aparatos domésticos,8054.0,0.07,-3.6,-11.3,141,153,166,165,159,93,31,12,5,65.96,21.99,8.51,3.55,21,37,19,16,14,17,4,8,0,4,1,0,14.89,26.24,13.48,11.35,9.93,12.06,2.84,5.67,0.0,2.84,0.71,0.0,19,122,13.48,86.52
28 Fabricación de maquinaria y equipo n.c.o.p.,284 Fabricación de máquinas herramienta para trabajar el metal y otras máquinas herramienta,8016.0,0.07,-3.1,-12.6,394,400,410,426,451,235,137,19,3,59.64,34.77,4.82,0.76,20,98,71,46,81,56,10,7,2,3,0,0,5.08,24.87,18.02,11.68,20.56,14.21,2.54,1.78,0.51,0.76,0.0,0.0,59,335,14.97,85.03
85 Educación,856 Actividades auxiliares a la educación,7939.0,0.07,3.2,11.7,479,448,445,421,429,404,59,13,3,84.34,12.32,2.71,0.63,82,188,75,59,36,23,10,2,1,2,1,0,17.12,39.25,15.66,12.32,7.52,4.8,2.09,0.42,0.21,0.42,0.21,0.0,7,472,1.46,98.54
32 Otras industrias manufactureras,329 Industrias manufactureras n.c.o.p.,7904.0,0.07,-2.1,-11.9,734,748,820,814,833,556,159,18,1,75.75,21.66,2.45,0.14,104,254,119,79,85,74,11,6,1,1,0,0,14.17,34.6,16.21,10.76,11.58,10.08,1.5,0.82,0.14,0.14,0.0,0.0,53,681,7.22,92.78
23 Fabricación de otros productos minerales no metálicos,"235 Fabricación de cemento, cal y yeso",7818.0,0.07,-0.5,0.0,107,102,106,106,107,63,26,13,5,58.88,24.3,12.15,4.67,7,31,9,16,14,12,8,3,2,4,1,0,6.54,28.97,8.41,14.95,13.08,11.21,7.48,2.8,1.87,3.74,0.93,0.0,33,74,30.84,69.16
63 Servicios de información,639 Otros servicios de información,7476.0,0.06,4.9,23.8,910,861,827,744,735,782,104,22,2,85.93,11.43,2.42,0.22,20,498,185,79,70,34,18,4,0,2,0,0,2.2,54.73,20.33,8.68,7.69,3.74,1.98,0.44,0.0,0.22,0.0,0.0,32,878,3.52,96.48
10 Industria de la alimentación,"106 Fabricación de productos de molinería, almidones y productos amiláceos",7020.0,0.06,-1.5,-7.7,239,239,255,251,259,155,70,8,6,64.85,29.29,3.35,2.51,17,57,51,30,36,34,4,2,2,6,0,0,7.11,23.85,21.34,12.55,15.06,14.23,1.67,0.84,0.84,2.51,0.0,0.0,72,167,30.13,69.87
19 Coquerías y refino de petróleo,192 Refino de petróleo,6794.0,0.06,-3.1,-38.5,8,7,12,11,13,4,0,1,3,50.0,0.0,12.5,37.5,0,1,1,2,0,0,0,1,0,1,2,0,0.0,12.5,12.5,25.0,0.0,0.0,0.0,12.5,0.0,12.5,25.0,0.0,6,2,75.0,25.0
37 Recogida y tratamiento de aguas residuales,370 Recogida y tratamiento de aguas residuales,6754.0,0.06,0.2,-5.2,310,306,328,329,327,227,69,13,1,73.23,22.26,4.19,0.32,31,73,65,58,44,25,8,4,1,0,1,0,10.0,23.55,20.97,18.71,14.19,8.06,2.58,1.29,0.32,0.0,0.32,0.0,24,286,7.74,92.26
"64 Servicios financieros, excepto seguros y fondos de pensiones",642 Actividades de las sociedades holding,6616.0,0.06,40.7,353.4,4312,3475,1878,1411,951,4308,4,0,0,99.91,0.09,0.0,0.0,1577,2394,325,12,4,0,0,0,0,0,0,0,36.57,55.52,7.54,0.28,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254,4058,5.89,94.11
"16 Industria de la madera y del corcho, excepto muebles, cestería y espartería",161 Aserrado y cepillado de la madera,6440.0,0.05,-3.1,-10.1,657,684,710,728,731,480,164,13,0,73.06,24.96,1.98,0.0,46,186,152,96,107,57,9,4,0,0,0,0,7.0,28.31,23.14,14.61,16.29,8.68,1.37,0.61,0.0,0.0,0.0,0.0,56,601,8.52,91.48
77 Actividades de alquiler,772 Alquiler de efectos personales y artículos de uso doméstico,6415.0,0.05,-2.0,-10.8,1353,1300,1454,1452,1516,1225,121,7,0,90.54,8.94,0.52,0.0,344,515,225,141,79,42,4,3,0,0,0,0,25.42,38.06,16.63,10.42,5.84,3.1,0.3,0.22,0.0,0.0,0.0,0.0,24,1329,1.77,98.23
"74 Otras actividades profesionales, científicas y técnicas",743 Actividades de traducción e interpretación,6332.0,0.05,-2.1,-11.9,951,956,1035,1050,1080,879,57,11,4,92.43,5.99,1.16,0.42,309,418,101,51,45,12,8,3,0,4,0,0,32.49,43.95,10.62,5.36,4.73,1.26,0.84,0.32,0.0,0.42,0.0,0.0,13,938,1.37,98.63
49 Transporte terrestre y por tubería,491 Transporte interurbano de pasajeros por ferrocarril,6324.0,0.05,2.5,0.0,4,5,7,5,4,0,0,1,3,0.0,0.0,25.0,75.0,0,0,0,0,0,0,1,0,0,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,50.0,0.0,25.0,4,0,100.0,0.0
55 Servicios de alojamiento,553 Campings y aparcamientos para caravanas,6176.0,0.05,1.4,5.4,826,810,829,790,784,679,136,11,0,82.2,16.46,1.33,0.0,102,228,189,160,98,38,8,3,0,0,0,0,12.35,27.6,22.88,19.37,11.86,4.6,0.97,0.36,0.0,0.0,0.0,0.0,79,747,9.56,90.44
13 Industria textil,132 Fabricación de tejidos textiles,5798.0,0.05,-4.5,-15.5,277,288,306,323,328,167,90,18,2,60.29,32.49,6.5,0.72,11,58,60,38,56,34,13,2,3,2,0,0,3.97,20.94,21.66,13.72,20.22,12.27,4.69,0.72,1.08,0.72,0.0,0.0,55,222,19.86,80.14
"79 Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos",799 Otros servicios de reservas y actividades relacionadas con los mismos,5558.0,0.05,-1.9,-8.4,428,421,445,417,467,334,79,13,2,78.04,18.46,3.04,0.47,37,156,88,53,54,25,6,5,2,2,0,0,8.64,36.45,20.56,12.38,12.62,5.84,1.4,1.17,0.47,0.47,0.0,0.0,21,407,4.91,95.09
68 Actividades inmobiliarias,681 Compraventa de bienes inmobiliarios por cuenta propia,5454.0,0.05,7.9,34.1,1605,1463,1410,1270,1197,1562,38,3,2,97.32,2.37,0.19,0.12,238,1042,230,52,22,16,3,0,0,2,0,0,14.83,64.92,14.33,3.24,1.37,1.0,0.19,0.0,0.0,0.12,0.0,0.0,104,1501,6.48,93.52
"74 Otras actividades profesionales, científicas y técnicas",742 Actividades de fotografía,5322.0,0.04,-2.8,-11.2,1741,1698,1852,1861,1961,1668,70,2,1,95.81,4.02,0.11,0.06,469,923,207,69,57,13,1,1,0,1,0,0,26.94,53.02,11.89,3.96,3.27,0.75,0.06,0.06,0.0,0.06,0.0,0.0,27,1714,1.55,98.45
"74 Otras actividades profesionales, científicas y técnicas",741 Actividades de diseño especializado,5310.0,0.04,2.0,6.3,795,812,812,781,748,684,99,12,0,86.04,12.45,1.51,0.0,48,349,184,103,69,30,9,2,1,0,0,0,6.04,43.9,23.14,12.96,8.68,3.77,1.13,0.25,0.13,0.0,0.0,0.0,15,780,1.89,98.11
53 Actividades postales y de correos,531 Actividades postales sometidas a la obligación del servicio universal,5000.0,0.04,0.0,0.0,1,1,1,1,1,0,0,0,1,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1,0,100.0,0.0
32 Otras industrias manufactureras,"321 Fabricación de artículos de joyería, bisutería y similares",4976.0,0.04,-2.6,-18.6,609,617,716,719,748,535,63,9,2,87.85,10.34,1.48,0.33,98,253,104,80,38,25,8,0,1,2,0,0,16.09,41.54,17.08,13.14,6.24,4.11,1.31,0.0,0.16,0.33,0.0,0.0,48,561,7.88,92.12
23 Fabricación de otros productos minerales no metálicos,234 Fabricación de otros productos cerámicos,4910.0,0.04,-1.7,-9.7,299,305,324,329,331,228,60,8,3,76.25,20.07,2.68,1.0,44,86,55,43,36,24,4,3,1,3,0,0,14.72,28.76,18.39,14.38,12.04,8.03,1.34,1.0,0.33,1.0,0.0,0.0,18,281,6.02,93.98
66 Actividades auxiliares a los servicios financieros y a los seguros,663 Actividades de gestión de fondos,4902.0,0.04,5.6,49.0,365,356,354,266,245,235,117,13,0,64.38,32.05,3.56,0.0,25,71,82,57,72,45,9,2,2,0,0,0,6.85,19.45,22.47,15.62,19.73,12.33,2.47,0.55,0.55,0.0,0.0,0.0,296,69,81.1,18.9
"25 Fabricación de productos metálicos, excepto maquinaria y equipo",254 Fabricación de armas y municiones,4806.0,0.04,3.1,0.0,32,31,35,34,32,13,11,6,2,40.62,34.38,18.75,6.25,4,7,1,1,6,5,1,4,1,1,1,0,12.5,21.88,3.12,3.12,18.75,15.62,3.12,12.5,3.12,3.12,3.12,0.0,12,20,37.5,62.5
49 Transporte terrestre y por tubería,492 Transporte de mercancías por ferrocarril,4733.0,0.04,0.5,4.2,50,62,64,50,48,37,8,2,3,74.0,16.0,4.0,6.0,8,20,6,3,5,3,1,1,0,2,1,0,16.0,40.0,12.0,6.0,10.0,6.0,2.0,2.0,0.0,4.0,2.0,0.0,18,32,36.0,64.0
"24 Metalurgia, fabricación de productos de hierro, acero y ferroaleaciones",243 Fabricación de otros productos de primera transformación del acero,4448.0,0.04,-1.3,-4.2,277,269,278,276,289,192,70,14,1,69.31,25.27,5.05,0.36,11,58,67,56,36,34,11,2,1,1,0,0,3.97,20.94,24.19,20.22,13.0,12.27,3.97,0.72,0.36,0.36,0.0,0.0,51,226,18.41,81.59
"35 Suministro de energía eléctrica, gas, vapor y aire acondicionado","352 Producción de gas, distribución por tubería de combustibles gaseosos",4370.0,0.04,3.2,26.2,77,66,64,63,61,53,12,7,5,68.83,15.58,9.09,6.49,15,17,13,8,7,5,3,4,0,5,0,0,19.48,22.08,16.88,10.39,9.09,6.49,3.9,5.19,0.0,6.49,0.0,0.0,29,48,37.66,62.34
27 Fabricación de material y equipo eléctrico,272 Fabricación de pilas y acumuladores eléctricos,4304.0,0.04,16.8,90.9,42,34,30,25,22,28,7,5,2,66.67,16.67,11.9,4.76,11,14,1,2,3,4,4,1,0,1,1,0,26.19,33.33,2.38,4.76,7.14,9.52,9.52,2.38,0.0,2.38,2.38,0.0,5,37,11.9,88.1
